@relation uracil_train_filtered_predicted

@attribute Mn_rate numeric
@attribute Untreated_rate numeric
@attribute Mn_T- numeric
@attribute Mn_-A numeric
@attribute Mn_-G numeric
@attribute Mn_-C numeric
@attribute Mn_TA numeric
@attribute Mn_TG numeric
@attribute Mn_TC numeric
@attribute TA numeric
@attribute TG numeric
@attribute TC numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Modifications' {none,pU,Um}
@attribute Modifications {none,pU,Um}

@data
0.001229,0,0,0,0,0,0,0.999594,0,0,0,0,1,none,?
0.004957,0,0,0,0,0,0.499963,0.249981,0.249981,0,0,0,1,none,?
0.006497,0,0,0,0,0,0.416668,0.083334,0.333334,0,0,0,1,none,?
0.007973,0.000714,0,0,0,0,0.333319,0.047617,0.095234,0,0,0,1,none,?
0.00841,0.000546,0,0,0.02381,0,0.214288,0.238098,0.428576,1.000821,0,0,1,none,?
0.004876,0.002061,0,0,0,0,0.321396,0.035711,0.107132,0.749925,0,0,0.999998,none,?
0.009291,0.000806,0.007937,0,0.007937,0,0.142863,0.17461,0.190483,0,0,0.50028,1,none,?
0.111535,0.002213,0,0,0,0,0.036269,0.012435,0.01658,0,0,0.400067,1,none,?
0.00447,0.000478,0,0,0,0.008065,0.395168,0.137099,0.258069,0,0,0,1,none,?
0.002264,0.000122,0,0,0,0.008405,0.495901,0.201722,0.252153,0,0,0.996683,1,none,?
0.007226,0.000374,0,0.005089,0,0.002544,0.75571,0.05089,0.165391,0.250028,0,0.750083,-0.999987,pU,?
0.005972,0.002461,0,0.00554,0,0.00277,0.445967,0.163429,0.293618,0.039998,0,0.079996,1,none,?
0.00451,0.000294,0,0,0,0.007662,0.218373,0.187725,0.528694,0.333565,0,0.66713,1,none,?
0.002492,0.000154,0.006369,0.006369,0,0,0.464965,0.146496,0.305731,0,0,1.002239,1,none,?
0.01206,0.000372,0,0.003155,0,0.003155,0.331233,0.115669,0.19874,0.110967,0.110967,0,0.999989,none,?
0.005354,0.00038,0.013384,0.024856,0,0.001912,0.585074,0.139576,0.198849,0.181864,0.181864,0.454661,1,none,?
0.006572,0.000189,0.015366,0.001182,0.00591,0.001182,0.484622,0.229309,0.242311,0.125186,0.125186,0.625932,1,none,?
0.00264,0.000163,0.002393,0.004785,0.002393,0.002393,0.421101,0.110061,0.413924,0.666265,0,0.333133,1,none,?
0.004979,0.0005,0,0,0.00629,0.002516,0.401274,0.203782,0.3497,0.357054,0,0.571286,1,none,?
0.006799,0.000309,0.015849,0.000792,0.000792,0.000792,0.507166,0.190187,0.261507,0.364027,0,0.364027,0.98534,none,?
0.00254,0.000128,0,0.021367,0.01282,0.002137,0.316236,0.13034,0.502131,0.110784,0,0.886273,1,none,?
0.003562,0.000122,0.007194,0.043164,0,0.007194,0.492071,0.110788,0.306466,0.445789,0,0.334342,1,none,?
0.004408,0.000214,0.021559,0.002395,0,0.002395,0.259908,0.204812,0.467116,0.375771,0.062628,0.313142,1,none,?
0.0047,0.000146,0,0.012223,0.005556,0.010001,0.253351,0.137787,0.526703,0,0.090767,0.907675,1,none,?
0.007765,0.000462,0,0.013926,0.006631,0.112069,0.401193,0.098143,0.312997,0.399824,0.057118,0.371265,1,none,?
0.006124,0.000337,0.00262,0.006114,0.08821,0.012227,0.227076,0.245417,0.371182,0.15989,0.119918,0.359753,1,none,?
0.004355,0.000351,0,0,0.005102,0.002041,0.385703,0.277543,0.303053,0.290662,0.096887,0.613619,0.999995,none,?
0.006498,0.000795,0,0,0.002644,0,0.168549,0.154008,0.212174,0.083282,0.027761,0.111042,1,none,?
0.005133,0.000257,0.013611,0.002722,0.000907,0.000907,0.475473,0.172404,0.306698,0.408686,0.090819,0.363276,1,none,?
0.007506,0.000212,0,0.020684,0.00711,0.016159,0.366492,0.151897,0.399457,0.444401,0.05555,0.499951,1,none,?
0.006083,0.000269,0,0.006721,0.005228,0.006721,0.448829,0.117995,0.363694,0.374636,0.124879,0.457889,1,none,?
0.003497,0.000174,0.004145,0.003108,0,0.002072,0.533622,0.087037,0.356439,0.16627,0,0.720504,0.905015,none,?
0.004172,0.000166,0.001315,0,0,0.000658,0.515483,0.150568,0.301137,0.637967,0,0.364553,0.975075,none,?
0.004573,0.000135,0.011271,0.001252,0.000626,0,0.440199,0.191609,0.332497,0.293819,0.058764,0.646401,1,none,?
0.004067,0.000222,0,0.018939,0.002185,0.002185,0.546305,0.101977,0.276794,0.517547,0.036968,0.443611,0.999999,none,?
0.004095,0.000207,0.000739,0.000739,0.000739,0.002954,0.350823,0.211971,0.404001,0.208396,0.083359,0.708547,1,none,?
0.004321,0.000245,0.000692,0.007613,0,0.006229,0.395187,0.136343,0.439481,0.241838,0.069096,0.656417,1,none,?
0.003234,0.000315,0.008814,0.005876,0.002938,0.008814,0.304562,0.191943,0.416202,0.257085,0.11426,0.39991,1,none,?
0.007479,0.000313,0.019329,0.000394,0.000394,0.001183,0.516363,0.170412,0.275341,0.184216,0.105266,0.473699,-0.913572,pU,?
0.004045,0.000318,0,0.116212,0.009002,0.004092,0.446026,0.108028,0.274981,0.294537,0,0.647981,0.025855,none,?
0.005412,0.000201,0.002098,0.000524,0.005769,0.005769,0.318851,0.277421,0.356609,0.400512,0.080102,0.440564,1,none,?
0.00476,0.000426,0,0.001796,0.002994,0.002994,0.325148,0.237125,0.395807,0.245268,0.018867,0.735803,1,none,?
0.004491,0.000153,0.007757,0.002984,0,0.00179,0.448136,0.195127,0.323422,0.523786,0.047617,0.333319,0.587667,none,?
0.002529,0.000251,0.007361,0.018927,0.003155,0.005258,0.430066,0.123026,0.382748,0.314147,0.142794,0.542617,1,none,?
0.002436,0.00026,0.001171,0.004684,0.001171,0.002342,0.35365,0.122958,0.489489,0.528879,0.029382,0.440732,1,none,?
0.004742,0.000189,0.001392,0.001392,0,0.001392,0.479442,0.14265,0.347926,0.634913,0.045351,0.317457,0.999998,none,?
0.005258,0.000262,0.013645,0.005198,0.0013,0.003899,0.203383,0.170894,0.564664,0.20029,0,0.567488,1,none,?
0.006657,0.000541,0,0.007816,0.002931,0.179279,0.217871,0.058131,0.447465,0.166636,0.015149,0.318123,1,none,?
0.003357,0.000176,0.009672,0.012573,0.004836,0.002901,0.366551,0.17312,0.3975,0.590876,0.045452,0.363616,1,none,?
0.004238,0.000341,0.019323,0,0.008971,0.00138,0.256716,0.256026,0.4251,0.100132,0.100132,0.680899,1,none,?
0.007059,0.000276,0.000392,0.003921,0.000392,0.003137,0.541158,0.159603,0.251364,0.302252,0.0465,0.651004,-0.999998,pU,?
0.006425,0.00189,0.000418,0,0.000835,0.001253,0.32415,0.224733,0.235176,0.051939,0.012985,0.055186,1,none,?
0.005203,0.000321,0.001612,0,0.001612,0.000537,0.384764,0.283737,0.288573,0.56864,0.137258,0.254908,1,none,?
0.005177,0.000314,0.002653,0.001592,0.002122,0.000531,0.379341,0.273762,0.299759,0.391789,0.215484,0.293842,1,none,?
0.005494,0.000397,0.002846,0,0.002372,0.001897,0.414103,0.254249,0.274172,0.499801,0.1029,0.3528,1,none,?
0.008993,0.000388,0.030352,0.001897,0.000316,0.002529,0.458435,0.199498,0.272215,0.311318,0.131081,0.278548,0.99998,none,?
0.00329,0.000085,0,0.036755,0.007738,0.012574,0.3337,0.127677,0.427523,0,0.166371,0.831857,1,none,?
0.00665,0.000259,0.001716,0,0.003432,0.001716,0.295594,0.232099,0.396414,0.537071,0.024412,0.439422,1,none,?
0.008374,0.000221,0.008165,0.001065,0.00071,0.002485,0.516177,0.169692,0.229688,0.294183,0.323601,0.17651,1,none,?
0.004389,0.000369,0.001274,0.001911,0.008281,0.004459,0.201925,0.231863,0.494938,0.316892,0.016679,0.617105,1,none,?
0.00183,0.000086,0.001274,0.008915,0,0.016557,0.198688,0.135006,0.469972,0.292844,0,0.468551,1,none,?
0.008011,0.00038,0.015512,0.00033,0.00264,0.00132,0.387461,0.223433,0.323764,0.234101,0.249708,0.452596,1,none,?
0.002922,0.000192,0.004835,0.004835,0,0.001612,0.362604,0.130537,0.446406,0.360245,0.138556,0.471089,1,none,?
0.003483,0.000058,0.018231,0.001402,0.004908,0.003506,0.229993,0.133929,0.429134,0.401597,0,0.602396,1,none,?
0.003971,0.000291,0.004754,0.001188,0.002971,0.002377,0.213911,0.259664,0.475358,0.345597,0.307197,0.268798,1,none,?
0.004205,0.000233,0.000569,0.000569,0.001708,0.002846,0.277772,0.268096,0.424627,0.219106,0.146071,0.632972,1,none,?
0.00701,0.000342,0.002107,0,0.004215,0.002107,0.41094,0.214602,0.333669,0.344894,0.120713,0.500096,1,none,?
0.005506,0.000242,0.001394,0.001394,0.000465,0.005111,0.341055,0.136143,0.482309,0.076832,0.384158,0.537821,1,none,?
0.005779,0.000297,0.00297,0.001697,0.008062,0.001273,0.298284,0.266037,0.372537,0.440351,0.040032,0.420335,1,none,?
